norad_id,nome,tipo_objeto,pais,tamanho_rcs,periodo_min,inclinacao,apogeu_km,perigeu_km,altitude_km,velocidade_kms,risco_colisao,eh_detrito,idade_anos,data_lancamento,data_decaimento,alerta_ativo
1119,COSMOS 57 DEB,DEBRIS,,,88.70,64.73,288,133,217.34,7.778,13.0,1,,,,1
1120,COSMOS 57 DEB,DEBRIS,,,89.67,64.74,317,199,265.28,7.75,13.0,1,,,,1
1121,COSMOS 57 DEB,DEBRIS,,,88.53,65.20,217,187,208.92,7.783,13.0,1,,,,1
1122,COSMOS 57 DEB,DEBRIS,,,89.03,64.68,336,117,233.67,7.769,13.0,1,,,,1
1123,COSMOS 57 DEB,DEBRIS,,,87.50,64.84,214,87,157.78,7.814,13.0,1,,,,1
1124,COSMOS 57 DEB,DEBRIS,,,89.36,65.00,329,157,249.98,7.759,13.0,1,,,,1
1125,COSMOS 57 DEB,DEBRIS,,,88.14,65.14,218,147,189.58,7.795,13.0,1,,,,1
1130,COSMOS 57 DEB,DEBRIS,,,90.13,64.83,403,159,287.96,7.737,13.0,1,,,,1
1131,COSMOS 57 DEB,DEBRIS,,,90.57,64.73,451,154,309.61,7.724,13.0,1,,,,1
1132,COSMOS 57 DEB,DEBRIS,,,90.64,64.67,560,52,313.06,7.722,13.0,1,,,,1
1133,COSMOS 57 DEB,DEBRIS,,,90.64,64.82,445,167,313.06,7.722,13.0,1,,,,1
1134,COSMOS 57 DEB,DEBRIS,,,90.88,64.61,478,158,324.85,7.716,13.0,1,,,,1
1135,COSMOS 57 DEB,DEBRIS,,,90.11,64.66,404,155,286.98,7.737,13.0,1,,,,1
1136,COSMOS 57 DEB,DEBRIS,,,90.36,64.75,429,155,299.28,7.73,13.0,1,,,,1
1137,COSMOS 57 DEB,DEBRIS,,,91.08,64.89,474,181,334.67,7.71,13.0,1,,,,1
1140,COSMOS 57 DEB,DEBRIS,,,90.02,64.77,413,138,282.54,7.74,13.0,1,,,,1
1141,COSMOS 57 DEB,DEBRIS,,,90.78,64.68,448,177,319.94,7.718,13.0,1,,,,1
